iter	Passed	Remaining
788	56987	15240
789	57062	15168
790	57137	15096
791	57213	15025
792	57287	14953
793	57362	14882
794	57431	14809
795	57509	14738
796	57587	14667
797	57662	14596
798	57749	14527
799	57817	14454
800	57891	14382
801	57955	14308
802	58039	14238
803	58116	14167
804	58187	14095
805	58255	14021
806	58340	13952
807	58417	13881
808	58492	13809
809	58574	13739
810	58653	13668
811	58725	13596
812	58810	13527
813	58887	13455
814	58963	13384
815	59039	13312
816	59118	13241
817	59182	13167
818	59262	13097
819	59339	13025
820	59408	12952
821	59482	12880
822	59563	12810
823	59634	12737
824	59701	12663
825	59774	12591
826	59865	12523
827	59946	12452
828	60023	12381
829	60098	12309
830	60172	12237
831	60243	12164
832	60315	12091
833	60397	12021
834	60476	11950
835	60561	11880
836	60636	11808
837	60713	11736
838	60793	11665
839	60879	11596
840	60952	11523
841	61030	11452
842	61093	11377
843	61160	11304
844	61224	11230
845	61295	11157
846	61366	11085
847	61440	11013
848	61515	10940
849	61592	10869
850	61661	10796
851	61742	10725
852	61827	10654
853	61902	10582
854	61984	10512
855	62060	10440
856	62133	10367
857	62210	10295
858	62290	10224
859	62366	10152
860	62443	10080
861	62509	10007
862	62583	9935
863	62658	9862
864	62728	9789
865	62784	9714
866	62849	9641
867	62934	9570
868	63017	9499
869	63086	9426
870	63157	9353
871	63223	9280
872	63300	9208
873	63376	9136
874	63439	9062
875	63509	8989
876	63580	8917
877	63658	8845
878	63740	8774
879	63812	8701
880	63889	8629
881	63964	8557
882	64038	8485
883	64114	8413
884	64193	8341
885	64263	8268
886	64344	8197
887	64414	8124
888	64490	8052
889	64576	7981
890	64654	7909
891	64728	7837
892	64797	7764
893	64875	7692
894	64952	7620
895	65028	7547
896	65107	7476
897	65184	7404
898	65259	7331
899	65329	7258
900	65404	7186
901	65472	7113
902	65547	7041
903	65623	6968
904	65695	6896
905	65771	6823
906	65842	6751
907	65923	6679
908	66012	6608
909	66087	6536
910	66176	6465
911	66245	6392
912	66316	6319
913	66387	6246
914	66466	6174
915	66542	6102
916	66630	6030
917	66703	5958
918	66780	5886
919	66851	5813
920	66921	5740
921	67001	5668
922	67076	5595
923	67147	5522
924	67211	5449
925	67282	5376
926	67383	5306
927	67463	5234
928	67541	5161
929	67617	5089
930	67687	5016
931	67766	4944
932	67847	4872
933	67919	4799
934	67996	4727
935	68070	4654
936	68152	4582
937	68227	4509
938	68312	4437
939	68384	4364
940	68464	4292
941	68534	4219
942	68616	4147
943	68677	4074
944	68750	4001
945	68829	3928
946	68905	3856
947	68976	3783
948	69058	3711
949	69125	3638
950	69192	3565
951	69259	3492
952	69329	3419
953	69400	3346
954	69479	3273
955	69558	3201
956	69640	3129
957	69715	3056
958	69798	2984
959	69865	2911
960	69942	2838
961	70014	2765
962	70092	2693
963	70165	2620
964	70237	2547
965	70312	2474
966	70392	2402
967	70471	2329
968	70552	2257
969	70627	2184
970	70699	2111
971	70770	2038
972	70842	1965
973	70919	1893
974	70993	1820
975	71074	1747
976	71144	1674
977	71221	1602
978	71307	1529
979	71382	1456
980	71463	1384
981	71530	1311
982	71603	1238
983	71677	1165
984	71753	1092
985	71826	1019
986	71903	947
987	71979	874
988	72067	801
989	72148	728
990	72221	655
991	72298	583
992	72376	510
993	72448	437
994	72529	364
995	72591	291
996	72678	218
997	72771	145
998	72839	72
999	72905	0
